utime,vel vx,vel vy,vel wz,odometry x,odometry y,odometry theta,apriltag id,apriltag longitude,apriltag latitude,apriltag world_x,apriltag world_y
1712956836536830,0,0,0,0,0,0,-1,-1,-1,-1,-1
1712956836577380,0.1423061192,0,-0.06670504808,0.005692244507,0,-0.002668201923,-1,-1,-1,-1,-1
1712956836617800,0.206294477,0,-0.0535264276,0.01394399442,-2.20E-05,-0.004809258971,-1,-1,-1,-1,-1
1712956836658230,0.230252251,0,-0.04014376551,0.02315397747,-6.63E-05,-0.006415009499,-1,-1,-1,-1,-1
1712956836698860,0.2425724417,0,0.05325641483,0.032856673,-0.000128554675,-0.004284752999,-1,-1,-1,-1,-1
1712956836739260,0.2690142393,0,0,0.04361714423,-0.0001746609196,-0.004284752999,-1,-1,-1,-1,-1
1712956836779810,0.2793978751,0,0.04002015665,0.05479295552,-0.0002225468052,-0.002683946863,-1,-1,-1,-1,-1
1712956836820250,0.2843378186,0,0.01337702759,0.06616643071,-0.0002530726779,-0.002148865722,-1,-1,-1,-1,-1
1712956836860670,0.2865838706,0,-0.04015362635,0.07762975991,-0.0002777058689,-0.003755010664,-1,-1,-1,-1,-1
1712956836901080,0.2876615822,0,0,0.08913613856,-0.0003209126589,-0.003755010664,-1,-1,-1,-1,-1
1712956836942260,0.2873898745,0,-0.01313570701,0.1006316543,-0.0003640786454,-0.004280439112,-1,-1,-1,-1,-1
1712956836982790,0.2847456336,0,-0.02669449337,0.1120213717,-0.0004128319561,-0.005348218605,-1,-1,-1,-1,-1
1712956837023250,0.2852382958,0,-0.05348146707,0.1234307438,-0.0004738523276,-0.007487477269,-1,-1,-1,-1,-1
1712956837063660,0.2834995985,0,-0.0267731417,0.1347704083,-0.0005587594351,-0.008558402769,-1,-1,-1,-1,-1
1712956837104070,0.2866193354,0,-0.01338625047,0.1462347656,-0.0006568784011,-0.009093852714,-1,-1,-1,-1,-1
1712956837145510,0.2774964869,0,-0.0391654186,0.1573341638,-0.0007578175282,-0.01066046953,-1,-1,-1,-1,-1
1712956837186070,0.2824581265,0,0,0.1686318517,-0.0008782607038,-0.01066046953,-1,-1,-1,-1,-1
1712956837227650,0.2836465836,0,0,0.1799770743,-0.0009992106352,-0.01066046953,-1,-1,-1,-1,-1
1712956837268070,0.2854993641,0,-0.05353039876,0.1913964003,-0.001120950561,-0.01280168537,-1,-1,-1,-1,-1
1712956837308480,0.2855770886,0,-0.05354500189,0.2028185427,-0.001267181244,-0.01494348515,-1,-1,-1,-1,-1
1712956837348870,0.2888968885,0,-0.04018552229,0.2143731266,-0.001439859858,-0.016550906,-1,-1,-1,-1,-1
1712956837389400,0.2836994231,0,-0.04004077986,0.2257195413,-0.001627670601,-0.01815253682,-1,-1,-1,-1,-1
1712956837429840,0.2843307853,0,-0.04012980312,0.2370909005,-0.00183411222,-0.01975772902,-1,-1,-1,-1,-1
1712956837470250,0.2834995985,0,-0.0267731417,0.2484286726,-0.002058150014,-0.02082865499,-1,-1,-1,-1,-1
1712956837511660,0.2838007808,0,-0.06532283127,0.2597782314,-0.002294580452,-0.02344156802,-1,-1,-1,-1,-1
1712956837552060,0.2846263945,0,-0.0401715599,0.2711601555,-0.002561439527,-0.02504843101,-1,-1,-1,-1,-1
1712956837592610,0.2825347781,0,-0.02668206953,0.2824580073,-0.002844491974,-0.02611571364,-1,-1,-1,-1,-1
1712956837633050,0.2853652239,0,-0.05350529402,0.2938687205,-0.003142558737,-0.02825592458,-1,-1,-1,-1,-1
1712956837673480,0.2865059078,0,-0.04014286771,0.3053243756,-0.003466335125,-0.02986164019,-1,-1,-1,-1,-1
1712956837713900,0.2844785452,0,-0.01338356081,0.316698432,-0.003806084394,-0.03039698303,-1,-1,-1,-1,-1
1712956837754290,0.2825971842,0,-0.04017962888,0.3279970884,-0.004149635322,-0.03200416639,-1,-1,-1,-1,-1
1712956837794830,0.2846753895,0,-0.02668796107,0.3393782675,-0.004514005035,-0.03307168558,-1,-1,-1,-1,-1
