utime,vel vx,vel vy,vel wz,odometry x,odometry y,odometry theta,apriltag 1 id,apriltag 1 longitude,apriltag 1 latitude,apriltag 2 id,apriltag 2 longitude,apriltag 2 latitude,apriltag 1 world x,apriltag 1 world y,apriltag 2 world x,apriltag 2 world y
1712966403847120,0.2193564177,0,-0.01310381293,1.248224497,-0.03659906611,-0.08091367036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403887660,0.2202489525,0,0,1.257005572,-0.037311133,-0.08091367036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403928150,0.2205100209,0,-0.02671831846,1.265797138,-0.03802404553,-0.08198240399,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403968570,0.2209191918,0,-0.05353577808,1.274604201,-0.03874769434,-0.08412383497,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404008990,0.2198934257,0,-0.04015478119,1.283368826,-0.03948675469,-0.08573002368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404049400,0.2198988795,0,0.01338535361,1.292132497,-0.0402399078,-0.08519461006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404089940,0.2202815413,0,-0.02669052407,1.300911784,-0.0409896709,-0.08626223356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404131030,0.2162654549,0,-0.01316414308,1.309530258,-0.04173496738,-0.08678879589,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404171440,0.2199369669,0,-0.01338753104,1.318294644,-0.04249753058,-0.08732429892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404211850,0.2157622129,0,-0.01338727493,1.326892257,-0.04325022548,-0.08785978705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404252270,0.2021819055,0,0.963737309,1.334948301,-0.04395985976,-0.04931029677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404292810,0.2119324356,0,0.5604051948,1.34341526,-0.04437770694,-0.02689408883,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404333220,0.2240620255,0,0.2275434583,1.352374554,-0.0446187146,-0.01779235154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404373650,0.2260959595,0,0.147201106,1.361416936,-0.04477961734,-0.01190430764,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404414080,0.2125142664,0,-0.05351848528,1.369916916,-0.0448808074,-0.01404504664,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404455720,0.2154423892,0,0.01299083792,1.378533721,-0.04500183836,-0.01352541335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404496270,0.2171054184,0,-0.04002502561,1.387217164,-0.04511929303,-0.0151264146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404536690,0.2188566923,0,0,1.395970464,-0.04525170848,-0.0151264146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404577110,0.2188079804,0,-0.02676443011,1.404721737,-0.04538409412,-0.01619699225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404617520,0.2189054638,0,-0.02677634358,1.413476825,-0.0455259122,-0.01726804674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404657930,0.2188783437,0,-0.05354615301,1.422230601,-0.0456770882,-0.01940989308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404699430,0.2202233523,0,-0.0130342599,1.431037903,-0.04584805667,-0.01993126422,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404739830,0.2178792059,0,-0.0401677154,1.439751387,-0.04602174833,-0.02153797261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404778570,0.2304998189,0,0,1.448969245,-0.04622031376,-0.02153797261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404819000,0.2208809406,0,-0.02676327899,1.457802415,-0.04641059041,-0.0226085037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404859420,0.2177875936,0,-0.01338356081,1.466511726,-0.04660752788,-0.02314384654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404899960,0.2191938162,0,-0.06671157479,1.475277185,-0.04681042954,-0.02581230924,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966404940380,0.2188621163,0,-0.02677121945,1.484028697,-0.04703637958,-0.02688315883,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
